param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
lambda_,moistureInd,0.00010300035097480869,1.000103005655693,2.036221322466285e-05,6.30911464089443e-05,0.00014290955554067307,1.0000630931366972,1.0001429197675975,0.0,5.058406462911113,4.227745365151934e-07,21.173608177627006
lambda_,pressureInd,-1.5092632289210023e-05,0.999984907481604,9.44811659117625e-06,-3.361060052965082e-05,3.425335951230773e-06,0.9999663899643002,1.0000034253418175,0.0,-1.5974223162429302,0.11017160126779241,3.182175703919692
lambda_,provider_Provider2,0.14870833798444053,1.160334514348177,0.0005165258013727842,0.14769596601666418,0.14972070995221687,1.1591604186236841,1.1615097992961352,0.0,287.901083719757,0.0,inf
lambda_,provider_Provider3,-0.20317112959676983,0.8161385640111135,0.0004989645211766154,-0.20414908208783927,-0.2021931771057004,0.8153408094160083,0.8169370991539194,0.0,-407.18552316639483,0.0,inf
lambda_,provider_Provider4,0.09777846356156436,1.10271846572519,0.0005550619736625569,0.09669056208399802,0.0988663650391307,1.1015194689904018,1.1039187675600792,0.0,176.1577412993663,0.0,inf
lambda_,team_TeamB,-0.0007700236357365884,0.999230272756382,0.00046575213146392107,-0.001682881039128638,0.00014283376765546142,0.9983185342111567,1.0001428439688835,0.0,-1.6532906318996359,0.0982717286578572,3.347079755827869
lambda_,team_TeamC,-0.08048919764531391,0.9226648704831109,0.0004746630103952095,-0.08141952005048188,-0.07955887524014595,0.9218068938409671,0.9235236456915523,0.0,-169.57124503613153,0.0,inf
lambda_,temperatureInd,-0.00016967684544373705,0.9998303375488581,8.62391292324471e-06,-0.00018657940417910623,-0.00015277428670836787,0.9998134380006755,0.9998472373826887,0.0,-19.6751575478451,3.5208090884208274e-86,283.8699091593705
lambda_,Intercept,4.389673455972315,80.61409063218532,0.0024581526717154306,4.384855565267252,4.394491346677379,80.22663486347535,81.00341762449781,0.0,1785.7611150364253,0.0,inf
rho_,Intercept,5.7203851913662564,305.0223923234011,0.0424448310036369,5.637194851269239,5.803575531463274,280.67428004832817,331.4826702420716,0.0,134.77224566817344,0.0,inf
